qr_code, mid_point_x_cm, mid_point_y_cm, position_in_wall
6, 0, 11, 4
5, 0, 22.5, 4
4, 0, 35, 4
30, 0, 47, 4
29, 0, 59.5, 4
28, 0, 71, 4
36, 0, 84, 4
35, 0, 96, 4
34, 0, 108, 4
19, 13, 121.5, 1
20, 25, 121.5, 1
21, 37, 121.5, 1
25, 50.5,  121.5, 1
26, 62.5,  121.5, 1
27, 74.5,  121.5, 1
31, 86.5,  121.5, 1
32, 98, 121.5, 1
33, 111, 121.5, 1
10, 13.5, 0, 3
11, 26, 0, 3
12, 38, 0, 3
16, 50, 0, 3
17, 61.5, 0, 3
18, 73.5, 0, 3
22, 85.5, 0, 3
23, 97.6, 0, 3
24,  109.8, 0, 3
7, 121.5, 12, 2
8, 121.5, 23.5 ,2
9, 121.5, 36, 2
3, 121.5, 49.5, 2
2, 121.5, 60.5, 2
1, 121.5, 72.5, 2
15, 121.5, 85.5, 2
14, 121.5, 97.3, 2
13, 121.5, 109.5, 2
